,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
48564,692632001,692632,Dragon pile pea coat,262,Jacket,Garment Upper body,1010016,Solid,71,Light Blue,1,Dusty Light,2,Blue,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,Double-breasted coat in soft pile with large notch lapels and front pockets. Lined.
48584,692745006,692745,Penne,258,Blouse,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Sleeveless blouse in a viscose weave with a small, frill-trimmed stand-up collar with ties. V-neck with buttons at the front, decorative gathers at the back and a rounded hem. Slightly longer at the back."
48706,692930001,692930,The Low Line Highwaist,59,Swimwear bottom,Swimwear,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, waist-high bikini bottoms with a high cut at the back."
48707,692930003,692930,The Low Line Highwaist,59,Swimwear bottom,Swimwear,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, waist-high bikini bottoms with a high cut at the back."
48773,693242001,693242,Bama,252,Sweater,Garment Upper body,1010010,Melange,93,Dark Green,4,Dark,19,Green,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
48782,693242013,693242,Bama(1),252,Sweater,Garment Upper body,1010010,Melange,14,Dark Beige,4,Dark,11,Beige,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
48784,693242015,693242,Bama(1),252,Sweater,Garment Upper body,1010010,Melange,15,Greyish Beige,4,Dark,1,Mole,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
48788,693242031,693242,Bama(1),252,Sweater,Garment Upper body,1010010,Melange,93,Dark Green,7,Medium,19,Green,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
48790,693243002,693243,Matey,252,Sweater,Garment Upper body,1010010,Melange,11,Off White,1,Dusty Light,9,White,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide, V-neck jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing at the cuffs and hem."
48795,693243012,693243,Matey(1),252,Sweater,Garment Upper body,1010010,Melange,32,Orange,5,Bright,3,Orange,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide, V-neck jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing at the cuffs and hem."
48798,693243016,693243,Matey(1),252,Sweater,Garment Upper body,1010010,Melange,14,Dark Beige,2,Medium Dusty,13,Brown,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide, V-neck jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing at the cuffs and hem."
48803,693246005,693246,Chip,252,Sweater,Garment Upper body,1010010,Melange,13,Beige,2,Medium Dusty,11,Beige,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Cowl-neck jumper in a soft knit containing some wool in a relaxed fit with dropped shoulders, long sleeves, ribbing at the cuffs and hem, and slits in the sides."
48907,693497001,693497,Margarita balboa,306,Bra,Underwear,1010021,Lace,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Non-wired bra in lace with moulded cups that give the bust a natural shape and provide light support. Hook-and-eye fastening at the back.
49249,694291001,694291,Graham,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Knee-length dress with cap sleeves, a round neckline, zip at the back and skirt with box pleats."
49298,694344001,694344,Jackie brazillian,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping Brazilian briefs in microfibre and lace with a high waist, lined gusset and half-string back. The briefs have a light shaping effect on the tummy and hips."
49872,695542005,695542,Eden HW paperwaist,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Trousers in woven fabric with a high, pleated paper bag waist, decorative buttons at the sides, zip fly and button and tapered legs with creases."
49874,695542010,695542,Eden HW paperwaist,272,Trousers,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Trousers in woven fabric with a high, pleated paper bag waist, decorative buttons at the sides, zip fly and button and tapered legs with creases."
49875,695544001,695544,Pluto slacks RW,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in stretch satin made from a cotton blend with a zip fly, concealed hook-and-eye fasteners and a regular waist with concealed elastication. Side pockets, fake welt back pockets and tapered legs with creases."
49876,695544002,695544,Pluto slacks RW,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in stretch satin made from a cotton blend with a zip fly, concealed hook-and-eye fasteners and a regular waist with concealed elastication. Side pockets, fake welt back pockets and tapered legs with creases."
49877,695544005,695544,Pluto slacks RW,272,Trousers,Garment Lower body,1010001,All over pattern,93,Dark Green,2,Medium Dusty,19,Green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in stretch satin made from a cotton blend with a zip fly, concealed hook-and-eye fasteners and a regular waist with concealed elastication. Side pockets, fake welt back pockets and tapered legs with creases."
49880,695545001,695545,Milk RW slacks,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with an elasticated waist, fake fly, diagonal side pockets, a fake welt back pocket and ankle-length legs with creases."
49881,695545002,695545,Milk RW slacks,272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with an elasticated waist, fake fly, diagonal side pockets, a fake welt back pocket and ankle-length legs with creases."
49882,695545003,695545,Milk RW slacks,272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with an elasticated waist, fake fly, diagonal side pockets, a fake welt back pocket and ankle-length legs with creases."
49883,695545005,695545,Milk RW slacks,272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with an elasticated waist, fake fly, diagonal side pockets, a fake welt back pocket and ankle-length legs with creases."
49884,695545007,695545,Milk RW slacks,272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,73,Dark Blue,2,Medium Dusty,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with an elasticated waist, fake fly, diagonal side pockets, a fake welt back pocket and ankle-length legs with creases."
49922,695632001,695632,Gyda blouse,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49923,695632002,695632,Gyda blouse,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49935,695632015,695632,Gyda-,258,Blouse,Garment Upper body,1010016,Solid,22,Yellow,1,Dusty Light,8,Yellow,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49942,695632032,695632,Gyda-,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49944,695632035,695632,Gyda- (1),258,Blouse,Garment Upper body,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49945,695632041,695632,Gyda- (1),258,Blouse,Garment Upper body,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49946,695632042,695632,Gyda- (1),258,Blouse,Garment Upper body,1010016,Solid,23,Dark Yellow,4,Dark,8,Yellow,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49949,695632087,695632,Gyda- (1),258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49952,695632095,695632,Gyda- (1),258,Blouse,Garment Upper body,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
49956,695632101,695632,Gyda blouse,258,Blouse,Garment Upper body,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a soft weave with a narrow collar, concealed buttons down the front, long sleeves with buttoned cuffs and a rounded hem."
50208,696209001,696209,Ciara wide cropped HW,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length pull on-trousers in woven fabric. High waist with wide elastication and a small frill trim at the top, side pockets and straight, wide legs."
50209,696209002,696209,Ciara wide cropped HW,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length pull on-trousers in woven fabric. High waist with wide elastication and a small frill trim at the top, side pockets and straight, wide legs."
50210,696209004,696209,Ciara wide cropped HW,272,Trousers,Garment Lower body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length pull on-trousers in woven fabric. High waist with wide elastication and a small frill trim at the top, side pockets and straight, wide legs."
50212,696209007,696209,Ciara wide cropped HW,272,Trousers,Garment Lower body,1010001,All over pattern,91,Light Green,1,Dusty Light,12,Grey,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length pull on-trousers in woven fabric. High waist with wide elastication and a small frill trim at the top, side pockets and straight, wide legs."
50601,697031002,697031,Tudor,263,Coat,Garment Upper body,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Shorter-style, double-breasted trenchcoat in woven fabric with a collar, shoulder tabs and a loose yoke at the back. Side pockets, a detachable belt at the waist, an adjustable tab and buckle at the cuffs, and a single back vent. Lined."
50620,697050022,697050,Coco(1),258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Sleeveless blouse in airy chiffon with a collar, buttons down the front, a yoke with a pleat at the back, and a rounded hem. Slightly longer at the back."
50624,697054002,697054,Despacito,258,Blouse,Garment Upper body,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50625,697054003,697054,Despacito,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50626,697054004,697054,Despacito,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50629,697054014,697054,Despacito 1,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50630,697054015,697054,Despacito,258,Blouse,Garment Upper body,1010001,All over pattern,14,Dark Beige,4,Dark,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50633,697054026,697054,Despacito,258,Blouse,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50635,697054028,697054,Despacito,258,Blouse,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50636,697054029,697054,Despacito,258,Blouse,Garment Upper body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50637,697054045,697054,Despacito,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50641,697054052,697054,Despacito,258,Blouse,Garment Upper body,1010001,All over pattern,17,Yellowish Brown,4,Dark,13,Brown,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a collar, buttons down the front, gathers at the shoulders, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
50656,697060013,697060,Yen,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,Longer-style top in a viscose crêpe weave with a round neckline and an opening with a concealed button at the back of the neck. Short sleeves and a rounded hem.
50657,697060014,697060,Yen,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,Longer-style top in a viscose crêpe weave with a round neckline and an opening with a concealed button at the back of the neck. Short sleeves and a rounded hem.
50658,697060016,697060,Yen,258,Blouse,Garment Upper body,1010001,All over pattern,91,Light Green,1,Dusty Light,12,Grey,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,Longer-style top in a viscose crêpe weave with a round neckline and an opening with a concealed button at the back of the neck. Short sleeves and a rounded hem.
50679,697091002,697091,Vivaldi,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a Tencel™ lyocell weave with a high waist with elastication at the back, a detachable tie belt and side pockets."
50681,697091007,697091,Vivaldi,274,Shorts,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a Tencel™ lyocell weave with a high waist with elastication at the back, a detachable tie belt and side pockets."
50996,697980001,697980,Nicky,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Jumper in a soft, fine knit with ribbing around the neckline, cuffs and hem."
50997,697980002,697980,Nicky,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Jumper in a soft, fine knit with ribbing around the neckline, cuffs and hem."
51010,697992001,697992,Raven,252,Sweater,Garment Upper body,1010016,Solid,72,Blue,7,Medium,2,Blue,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Boxy-style jumper in a soft, textured knit with a deep V-neck, dropped shoulders, long sleeves and roll edges at the cuffs and hem."
51011,697992002,697992,Raven,252,Sweater,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Boxy-style jumper in a soft, textured knit with a deep V-neck, dropped shoulders, long sleeves and roll edges at the cuffs and hem."
51012,697992003,697992,Raven,252,Sweater,Garment Upper body,1010016,Solid,61,Light Purple,3,Light,6,Lilac Purple,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Boxy-style jumper in a soft, textured knit with a deep V-neck, dropped shoulders, long sleeves and roll edges at the cuffs and hem."
51114,698276001,698276,Epic Padded Swimsuit,57,Swimsuit,Swimwear,1010017,Stripe,72,Blue,7,Medium,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a deep V-neck with ties at the front, and a square neckline at the back. Padded cups with removable inserts that shape the bust and provide good support. Flounces around the neckline front and back, and a seam at the waist."
51116,698276003,698276,Epic Padded Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a deep V-neck with ties at the front, and a square neckline at the back. Padded cups with removable inserts that shape the bust and provide good support. Flounces around the neckline front and back, and a seam at the waist."
51120,698276009,698276,Epic Padded Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a deep V-neck with ties at the front, and a square neckline at the back. Padded cups with removable inserts that shape the bust and provide good support. Flounces around the neckline front and back, and a seam at the waist."
51121,698283001,698283,Timeless Low V Shape Brief,59,Swimwear bottom,Swimwear,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a low, V-shaped waist, narrow sides and a high cut at the back."
51132,698293001,698293,Just for Life Top,298,Bikini top,Swimwear,1010017,Stripe,72,Blue,7,Medium,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Frilled bikini top with lined cups with removable inserts, narrow adjustable shoulder straps and a fastener at the back."
51134,698294001,698294,Just for Life Tie Brief,59,Swimwear bottom,Swimwear,1010017,Stripe,72,Blue,7,Medium,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, ties at the sides and medium coverage at the back."
51179,698387001,698387,&DENIM+ Skinny Shaping HW,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,19,Green,1774,OL Extended Sizes,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape."
51332,698776002,698776,James Biker,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,Biker jacket in grained imitation leather with a zip down the front and notch lapels with decorative press-studs. Zipped pockets and a zip at the cuffs. Lined.
51495,699075001,699075,Sweet and Bitter Top,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini top with removable inserts, a knot at the front and a fastener at the back."
51496,699075002,699075,Sweet and Bitter Top,298,Bikini top,Swimwear,1010016,Solid,32,Orange,5,Bright,8,Yellow,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini top with removable inserts, a knot at the front and a fastener at the back."
51497,699075005,699075,Sweet and Bitter Top,298,Bikini top,Swimwear,1010006,Dot,73,Dark Blue,4,Dark,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini top with removable inserts, a knot at the front and a fastener at the back."
51500,699077001,699077,Sweet & Bitter Mid Tie Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a mid waist and ties at the sides.
51501,699077002,699077,Sweet & Bitter Mid Tie Brief,59,Swimwear bottom,Swimwear,1010016,Solid,32,Orange,5,Bright,8,Yellow,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a mid waist and ties at the sides.
51502,699077006,699077,Sweet & Bitter Mid Tie Brief,59,Swimwear bottom,Swimwear,1010006,Dot,73,Dark Blue,4,Dark,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a mid waist and ties at the sides.
51504,699080001,699080,Lazer Razer Padded Wire,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini top with laser-cut edges and underwired, padded cups that shape the bust and provide good support. Adjustable shoulder straps and a hook-and-eye fastening at the back."
51505,699081001,699081,Lazer Razer High Rise Hipster,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a high waist, medium coverage at the back and laser-cut, scalloped edges."
51506,699082001,699082,Milkshake Balconette,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined balconette bikini top with underwired, lightly padded cups, side support and decorative gathers at the front. Detachable, adjustable shoulder straps and ties at the back."
51508,699082006,699082,Milkshake Balconette,298,Bikini top,Swimwear,1010001,All over pattern,31,Light Orange,1,Dusty Light,3,Orange,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined balconette bikini top with underwired, lightly padded cups, side support and decorative gathers at the front. Detachable, adjustable shoulder straps and ties at the back."
51636,699358001,699358,Papillon Funnelneck 1,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1610,Knitwear,A,Ladieswear,1,Ladieswear,6,Womens Casual,1003,Knitwear,"Jumper in a soft, fine knit containing some wool with a ribbed funnel collar, long sleeves and ribbing at the cuffs and hem."
51637,699358002,699358,Papillon Funnelneck 1,252,Sweater,Garment Upper body,1010010,Melange,71,Light Blue,3,Light,2,Blue,1610,Knitwear,A,Ladieswear,1,Ladieswear,6,Womens Casual,1003,Knitwear,"Jumper in a soft, fine knit containing some wool with a ribbed funnel collar, long sleeves and ribbing at the cuffs and hem."
51665,699423001,699423,Ring Ring Triangle Top,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined triangle bikini top with removable inserts, a decorative ring at the front, narrow, adjustable shoulder straps and a hook-and-eye fastening at the back."
